Postcode,Suburb,Region
2000,Barangaroo,Central & Northern Sydney
2000,Dawes Point,Central & Northern Sydney
2000,Haymarket,Central & Northern Sydney
2000,Millers Point,Central & Northern Sydney
2000,Parliament House,Central & Northern Sydney
2000,Sydney,Central & Northern Sydney
2000,Sydney South,Central & Northern Sydney
2000,The Rocks,Central & Northern Sydney
2001,Sydney,Central & Northern Sydney
2002,World Square,Central & Northern Sydney
2006,The University Of Sydney,Central & Northern Sydney
2007,Broadway,Central & Northern Sydney
2007,Ultimo,Central & Northern Sydney
2008,Chippendale,Central & Northern Sydney
2008,Darlington,Central & Northern Sydney
2009,Pyrmont,Central & Northern Sydney
2010,Darlinghurst,Central & Northern Sydney
2010,Surry Hills,Central & Northern Sydney
2011,Elizabeth Bay,Central & Northern Sydney
2011,Hmas Kuttabul,Central & Northern Sydney
2011,Potts Point,Central & Northern Sydney
2011,Rushcutters Bay,Central & Northern Sydney
2011,Woolloomooloo,Central & Northern Sydney
2012,Strawberry Hills,Central & Northern Sydney
2013,Strawberry Hills,Central & Northern Sydney
2015,Alexandria,Central & Northern Sydney
2015,Beaconsfield,Central & Northern Sydney
2015,Eveleigh,Central & Northern Sydney
2016,Redfern,Central & Northern Sydney
2017,Waterloo,Central & Northern Sydney
2017,Zetland,Central & Northern Sydney
2018,Eastlakes,Central & Northern Sydney
2018,Rosebery,Central & Northern Sydney
2019,Banksmeadow,Central & Northern Sydney
2019,Botany,Central & Northern Sydney
2020,Mascot,Southern & South Western Sydney
2020,Sydney Domestic Airport,Southern & South Western Sydney
2020,Sydney International Airport,Southern & South Western Sydney
2021,Centennial Park,Central & Northern Sydney
2021,Moore Park,Central & Northern Sydney
2021,Paddington,Central & Northern Sydney
2022,Bondi Junction,Central & Northern Sydney
2022,Bondi Junction Plaza,Central & Northern Sydney
2022,Queens Park,Central & Northern Sydney
2023,Bellevue Hill,Central & Northern Sydney
2024,Bronte,Central & Northern Sydney
2024,Waverley,Central & Northern Sydney
2025,Woollahra,Central & Northern Sydney
2026,Bondi,Central & Northern Sydney
2026,Bondi Beach,Central & Northern Sydney
2026,North Bondi,Central & Northern Sydney
2026,Tamarama,Central & Northern Sydney
2027,Darling Point,Central & Northern Sydney
2027,Edgecliff,Central & Northern Sydney
2027,Hmas Rushcutters,Central & Northern Sydney
2027,Point Piper,Central & Northern Sydney
2028,Double Bay,Central & Northern Sydney
2029,Rose Bay,Central & Northern Sydney
2030,Dover Heights,Central & Northern Sydney
